nome,email,cpf,data_nascimento,curso_id
Bruno Souza,pessoa171@example.com,10000000171,1991-04-04,1
Carlos Oliveira,pessoa172@example.com,10000000172,1992-05-05,2
Daniela Pereira,pessoa173@example.com,10000000173,1993-06-06,3
Fernanda Costa,pessoa174@example.com,10000000174,1994-07-07,1
Gabriel Almeida,pessoa175@example.com,10000000175,1995-08-08,2
Helena Gomes,pessoa176@example.com,10000000176,1996-09-09,3
Igor Ramos,pessoa177@example.com,10000000177,1997-10-10,1
Julia Melo,pessoa178@example.com,10000000178,1998-11-11,2
Marcos Fernandes,pessoa179@example.com,10000000179,1999-12-12,3
Ana Silva,pessoa180@example.com,10000000180,1980-01-13,1
Bruno Souza,pessoa181@example.com,10000000181,1981-02-14,2
Carlos Oliveira,pessoa182@example.com,10000000182,1982-03-15,3
Daniela Pereira,pessoa183@example.com,10000000183,1983-04-16,1
Fernanda Costa,pessoa184@example.com,10000000184,1984-05-17,2
Gabriel Almeida,pessoa185@example.com,10000000185,1985-06-18,3
Helena Gomes,pessoa186@example.com,10000000186,1986-07-19,1
Igor Ramos,pessoa187@example.com,10000000187,1987-08-20,2
Julia Melo,pessoa188@example.com,10000000188,1988-09-21,3
Marcos Fernandes,pessoa189@example.com,10000000189,1989-10-22,1
Ana Silva,pessoa190@example.com,10000000190,1990-11-23,2
Bruno Souza,pessoa191@example.com,10000000191,1991-12-24,3
Carlos Oliveira,pessoa192@example.com,10000000192,1992-01-25,1
Daniela Pereira,pessoa193@example.com,10000000193,1993-02-26,2
Fernanda Costa,pessoa194@example.com,10000000194,1994-03-27,3
Gabriel Almeida,pessoa195@example.com,10000000195,1995-04-28,1
Helena Gomes,pessoa196@example.com,10000000196,1996-05-01,2
Igor Ramos,pessoa197@example.com,10000000197,1997-06-02,3
Julia Melo,pessoa198@example.com,10000000198,1998-07-03,1
Marcos Fernandes,pessoa199@example.com,10000000199,1999-08-04,2
Ana Silva,pessoa200@example.com,10000000200,1980-09-05,3
Bruno Souza,pessoa201@example.com,10000000201,1981-10-06,1
Carlos Oliveira,pessoa202@example.com,10000000202,1982-11-07,2
Daniela Pereira,pessoa203@example.com,10000000203,1983-12-08,3
Fernanda Costa,pessoa204@example.com,10000000204,1984-01-09,1
Gabriel Almeida,pessoa205@example.com,10000000205,1985-02-10,2
Helena Gomes,pessoa206@example.com,10000000206,1986-03-11,3
Igor Ramos,pessoa207@example.com,10000000207,1987-04-12,1
Julia Melo,pessoa208@example.com,10000000208,1988-05-13,2
Marcos Fernandes,pessoa209@example.com,10000000209,1989-06-14,3
Ana Silva,pessoa210@example.com,10000000210,1990-07-15,1
Bruno Souza,pessoa211@example.com,10000000211,1991-08-16,2
Carlos Oliveira,pessoa212@example.com,10000000212,1992-09-17,3
Daniela Pereira,pessoa213@example.com,10000000213,1993-10-18,1
Fernanda Costa,pessoa214@example.com,10000000214,1994-11-19,2
Gabriel Almeida,pessoa215@example.com,10000000215,1995-12-20,3
Helena Gomes,pessoa216@example.com,10000000216,1996-01-21,1
Igor Ramos,pessoa217@example.com,10000000217,1997-02-22,2
Julia Melo,pessoa218@example.com,10000000218,1998-03-23,3
Marcos Fernandes,pessoa219@example.com,10000000219,1999-04-24,1
Ana Silva,pessoa220@example.com,10000000220,1980-05-25,2
Bruno Souza,pessoa221@example.com,10000000221,1981-06-26,3
Carlos Oliveira,pessoa222@example.com,10000000222,1982-07-27,1
Daniela Pereira,pessoa223@example.com,10000000223,1983-08-28,2
Fernanda Costa,pessoa224@example.com,10000000224,1984-09-01,3
Gabriel Almeida,pessoa225@example.com,10000000225,1985-10-02,1
Helena Gomes,pessoa226@example.com,10000000226,1986-11-03,2
Igor Ramos,pessoa227@example.com,10000000227,1987-12-04,3
Julia Melo,pessoa228@example.com,10000000228,1988-01-05,1
Marcos Fernandes,pessoa229@example.com,10000000229,1989-02-06,2
Ana Silva,pessoa230@example.com,10000000230,1990-03-07,3
Bruno Souza,pessoa231@example.com,10000000231,1991-04-08,1
Carlos Oliveira,pessoa232@example.com,10000000232,1992-05-09,2
Daniela Pereira,pessoa233@example.com,10000000233,1993-06-10,3
Fernanda Costa,pessoa234@example.com,10000000234,1994-07-11,1
Gabriel Almeida,pessoa235@example.com,10000000235,1995-08-12,2
Helena Gomes,pessoa236@example.com,10000000236,1996-09-13,3
Igor Ramos,pessoa237@example.com,10000000237,1997-10-14,1
Julia Melo,pessoa238@example.com,10000000238,1998-11-15,2
Marcos Fernandes,pessoa239@example.com,10000000239,1999-12-16,3
Ana Silva,pessoa240@example.com,10000000240,1980-01-17,1
Bruno Souza,pessoa241@example.com,10000000241,1981-02-18,2
Carlos Oliveira,pessoa242@example.com,10000000242,1982-03-19,3
Daniela Pereira,pessoa243@example.com,10000000243,1983-04-20,1
Fernanda Costa,pessoa244@example.com,10000000244,1984-05-21,2
Gabriel Almeida,pessoa245@example.com,10000000245,1985-06-22,3
Helena Gomes,pessoa246@example.com,10000000246,1986-07-23,1
Igor Ramos,pessoa247@example.com,10000000247,1987-08-24,2
Julia Melo,pessoa248@example.com,10000000248,1988-09-25,3
Marcos Fernandes,pessoa249@example.com,10000000249,1989-10-26,1
Ana Silva,pessoa250@example.com,10000000250,1990-11-27,2
Bruno Souza,pessoa251@example.com,10000000251,1991-12-28,3
Carlos Oliveira,pessoa252@example.com,10000000252,1992-01-01,1
Daniela Pereira,pessoa253@example.com,10000000253,1993-02-02,2
Fernanda Costa,pessoa254@example.com,10000000254,1994-03-03,3
Gabriel Almeida,pessoa255@example.com,10000000255,1995-04-04,1
Helena Gomes,pessoa256@example.com,10000000256,1996-05-05,2
Igor Ramos,pessoa257@example.com,10000000257,1997-06-06,3
Julia Melo,pessoa258@example.com,10000000258,1998-07-07,1
Marcos Fernandes,pessoa259@example.com,10000000259,1999-08-08,2
Ana Silva,pessoa260@example.com,10000000260,1980-09-09,3
Bruno Souza,pessoa261@example.com,10000000261,1981-10-10,1
Carlos Oliveira,pessoa262@example.com,10000000262,1982-11-11,2
Daniela Pereira,pessoa263@example.com,10000000263,1983-12-12,3
Fernanda Costa,pessoa264@example.com,10000000264,1984-01-13,1
Gabriel Almeida,pessoa265@example.com,10000000265,1985-02-14,2
Helena Gomes,pessoa266@example.com,10000000266,1986-03-15,3
Igor Ramos,pessoa267@example.com,10000000267,1987-04-16,1
Julia Melo,pessoa268@example.com,10000000268,1988-05-17,2
Marcos Fernandes,pessoa269@example.com,10000000269,1989-06-18,3
Ana Silva,pessoa270@example.com,10000000270,1990-07-19,1
Bruno Souza,pessoa271@example.com,10000000271,1991-08-20,2
Carlos Oliveira,pessoa272@example.com,10000000272,1992-09-21,3
Daniela Pereira,pessoa273@example.com,10000000273,1993-10-22,1
Fernanda Costa,pessoa274@example.com,10000000274,1994-11-23,2
Gabriel Almeida,pessoa275@example.com,10000000275,1995-12-24,3
Helena Gomes,pessoa276@example.com,10000000276,1996-01-25,1
Igor Ramos,pessoa277@example.com,10000000277,1997-02-26,2
Julia Melo,pessoa278@example.com,10000000278,1998-03-27,3
Marcos Fernandes,pessoa279@example.com,10000000279,1999-04-28,1
Ana Silva,pessoa280@example.com,10000000280,1980-05-01,2
Bruno Souza,pessoa281@example.com,10000000281,1981-06-02,3
Carlos Oliveira,pessoa282@example.com,10000000282,1982-07-03,1
Daniela Pereira,pessoa283@example.com,10000000283,1983-08-04,2
Fernanda Costa,pessoa284@example.com,10000000284,1984-09-05,3
Gabriel Almeida,pessoa285@example.com,10000000285,1985-10-06,1
Helena Gomes,pessoa286@example.com,10000000286,1986-11-07,2
Igor Ramos,pessoa287@example.com,10000000287,1987-12-08,3
Julia Melo,pessoa288@example.com,10000000288,1988-01-09,1
Marcos Fernandes,pessoa289@example.com,10000000289,1989-02-10,2
Ana Silva,pessoa290@example.com,10000000290,1990-03-11,3
Bruno Souza,pessoa291@example.com,10000000291,1991-04-12,1
Carlos Oliveira,pessoa292@example.com,10000000292,1992-05-13,2
Daniela Pereira,pessoa293@example.com,10000000293,1993-06-14,3
Fernanda Costa,pessoa294@example.com,10000000294,1994-07-15,1
Gabriel Almeida,pessoa295@example.com,10000000295,1995-08-16,2
Helena Gomes,pessoa296@example.com,10000000296,1996-09-17,3
Igor Ramos,pessoa297@example.com,10000000297,1997-10-18,1
Julia Melo,pessoa298@example.com,10000000298,1998-11-19,2
Marcos Fernandes,pessoa299@example.com,10000000299,1999-12-20,3
Ana Silva,pessoa300@example.com,10000000300,1980-01-21,1
Bruno Souza,pessoa301@example.com,10000000301,1981-02-22,2
Carlos Oliveira,pessoa302@example.com,10000000302,1982-03-23,3
Daniela Pereira,pessoa303@example.com,10000000303,1983-04-24,1
Fernanda Costa,pessoa304@example.com,10000000304,1984-05-25,2
Gabriel Almeida,pessoa305@example.com,10000000305,1985-06-26,3
Helena Gomes,pessoa306@example.com,10000000306,1986-07-27,1
Igor Ramos,pessoa307@example.com,10000000307,1987-08-28,2
Julia Melo,pessoa308@example.com,10000000308,1988-09-01,3
Marcos Fernandes,pessoa309@example.com,10000000309,1989-10-02,1
Ana Silva,pessoa310@example.com,10000000310,1990-11-03,2
Bruno Souza,pessoa311@example.com,10000000311,1991-12-04,3
Carlos Oliveira,pessoa312@example.com,10000000312,1992-01-05,1
Daniela Pereira,pessoa313@example.com,10000000313,1993-02-06,2
Fernanda Costa,pessoa314@example.com,10000000314,1994-03-07,3
Gabriel Almeida,pessoa315@example.com,10000000315,1995-04-08,1
Helena Gomes,pessoa316@example.com,10000000316,1996-05-09,2
Igor Ramos,pessoa317@example.com,10000000317,1997-06-10,3
Julia Melo,pessoa318@example.com,10000000318,1998-07-11,1
Marcos Fernandes,pessoa319@example.com,10000000319,1999-08-12,2
Ana Silva,pessoa320@example.com,10000000320,1980-09-13,3
Bruno Souza,pessoa321@example.com,10000000321,1981-10-14,1
Carlos Oliveira,pessoa322@example.com,10000000322,1982-11-15,2
Daniela Pereira,pessoa323@example.com,10000000323,1983-12-16,3
Fernanda Costa,pessoa324@example.com,10000000324,1984-01-17,1
Gabriel Almeida,pessoa325@example.com,10000000325,1985-02-18,2
Helena Gomes,pessoa326@example.com,10000000326,1986-03-19,3
Igor Ramos,pessoa327@example.com,10000000327,1987-04-20,1
Julia Melo,pessoa328@example.com,10000000328,1988-05-21,2
Marcos Fernandes,pessoa329@example.com,10000000329,1989-06-22,3
Ana Silva,pessoa330@example.com,10000000330,1990-07-23,1
Bruno Souza,pessoa331@example.com,10000000331,1991-08-24,2
Carlos Oliveira,pessoa332@example.com,10000000332,1992-09-25,3
Daniela Pereira,pessoa333@example.com,10000000333,1993-10-26,1
Fernanda Costa,pessoa334@example.com,10000000334,1994-11-27,2
Gabriel Almeida,pessoa335@example.com,10000000335,1995-12-28,3
Helena Gomes,pessoa336@example.com,10000000336,1996-01-01,1
Igor Ramos,pessoa337@example.com,10000000337,1997-02-02,2
Julia Melo,pessoa338@example.com,10000000338,1998-03-03,3
Marcos Fernandes,pessoa339@example.com,10000000339,1999-04-04,1
Ana Silva,pessoa340@example.com,10000000340,1980-05-05,2
Bruno Souza,pessoa341@example.com,10000000341,1981-06-06,3
Carlos Oliveira,pessoa342@example.com,10000000342,1982-07-07,1
Daniela Pereira,pessoa343@example.com,10000000343,1983-08-08,2
Fernanda Costa,pessoa344@example.com,10000000344,1984-09-09,3
Gabriel Almeida,pessoa345@example.com,10000000345,1985-10-10,1
Helena Gomes,pessoa346@example.com,10000000346,1986-11-11,2
Igor Ramos,pessoa347@example.com,10000000347,1987-12-12,3
Julia Melo,pessoa348@example.com,10000000348,1988-01-13,1
Marcos Fernandes,pessoa349@example.com,10000000349,1989-02-14,2
Ana Silva,pessoa350@example.com,10000000350,1990-03-15,3
Bruno Souza,pessoa351@example.com,10000000351,1991-04-16,1
Carlos Oliveira,pessoa352@example.com,10000000352,1992-05-17,2
Daniela Pereira,pessoa353@example.com,10000000353,1993-06-18,3
Fernanda Costa,pessoa354@example.com,10000000354,1994-07-19,1
Gabriel Almeida,pessoa355@example.com,10000000355,1995-08-20,2
Helena Gomes,pessoa356@example.com,10000000356,1996-09-21,3
Igor Ramos,pessoa357@example.com,10000000357,1997-10-22,1
Julia Melo,pessoa358@example.com,10000000358,1998-11-23,2
Marcos Fernandes,pessoa359@example.com,10000000359,1999-12-24,3
Ana Silva,pessoa360@example.com,10000000360,1980-01-25,1
Bruno Souza,pessoa361@example.com,10000000361,1981-02-26,2
Carlos Oliveira,pessoa362@example.com,10000000362,1982-03-27,3
Daniela Pereira,pessoa363@example.com,10000000363,1983-04-28,1
Fernanda Costa,pessoa364@example.com,10000000364,1984-05-01,2
Gabriel Almeida,pessoa365@example.com,10000000365,1985-06-02,3
Helena Gomes,pessoa366@example.com,10000000366,1986-07-03,1
Igor Ramos,pessoa367@example.com,10000000367,1987-08-04,2
Julia Melo,pessoa368@example.com,10000000368,1988-09-05,3
Marcos Fernandes,pessoa369@example.com,10000000369,1989-10-06,1
Ana Silva,pessoa370@example.com,10000000370,1990-11-07,2
Bruno Souza,pessoa371@example.com,10000000371,1991-12-08,3
Carlos Oliveira,pessoa372@example.com,10000000372,1992-01-09,1
Daniela Pereira,pessoa373@example.com,10000000373,1993-02-10,2
Fernanda Costa,pessoa374@example.com,10000000374,1994-03-11,3
Gabriel Almeida,pessoa375@example.com,10000000375,1995-04-12,1
Helena Gomes,pessoa376@example.com,10000000376,1996-05-13,2
Igor Ramos,pessoa377@example.com,10000000377,1997-06-14,3
Julia Melo,pessoa378@example.com,10000000378,1998-07-15,1
Marcos Fernandes,pessoa379@example.com,10000000379,1999-08-16,2
Ana Silva,pessoa380@example.com,10000000380,1980-09-17,3
Bruno Souza,pessoa381@example.com,10000000381,1981-10-18,1
Carlos Oliveira,pessoa382@example.com,10000000382,1982-11-19,2
Daniela Pereira,pessoa383@example.com,10000000383,1983-12-20,3
Fernanda Costa,pessoa384@example.com,10000000384,1984-01-21,1
Gabriel Almeida,pessoa385@example.com,10000000385,1985-02-22,2
Helena Gomes,pessoa386@example.com,10000000386,1986-03-23,3
Igor Ramos,pessoa387@example.com,10000000387,1987-04-24,1
Julia Melo,pessoa388@example.com,10000000388,1988-05-25,2
Marcos Fernandes,pessoa389@example.com,10000000389,1989-06-26,3
Ana Silva,pessoa390@example.com,10000000390,1990-07-27,1
Bruno Souza,pessoa391@example.com,10000000391,1991-08-28,2
Carlos Oliveira,pessoa392@example.com,10000000392,1992-09-01,3
Daniela Pereira,pessoa393@example.com,10000000393,1993-10-02,1
Fernanda Costa,pessoa394@example.com,10000000394,1994-11-03,2
Gabriel Almeida,pessoa395@example.com,10000000395,1995-12-04,3
Helena Gomes,pessoa396@example.com,10000000396,1996-01-05,1
Igor Ramos,pessoa397@example.com,10000000397,1997-02-06,2
Julia Melo,pessoa398@example.com,10000000398,1998-03-07,3
Marcos Fernandes,pessoa399@example.com,10000000399,1999-04-08,1
Ana Silva,pessoa400@example.com,10000000400,1980-05-09,2
Bruno Souza,pessoa401@example.com,10000000401,1981-06-10,3
Carlos Oliveira,pessoa402@example.com,10000000402,1982-07-11,1
Daniela Pereira,pessoa403@example.com,10000000403,1983-08-12,2
Fernanda Costa,pessoa404@example.com,10000000404,1984-09-13,3
Gabriel Almeida,pessoa405@example.com,10000000405,1985-10-14,1
Helena Gomes,pessoa406@example.com,10000000406,1986-11-15,2
Igor Ramos,pessoa407@example.com,10000000407,1987-12-16,3
Julia Melo,pessoa408@example.com,10000000408,1988-01-17,1
Marcos Fernandes,pessoa409@example.com,10000000409,1989-02-18,2
Ana Silva,pessoa410@example.com,10000000410,1990-03-19,3
Bruno Souza,pessoa411@example.com,10000000411,1991-04-20,1
Carlos Oliveira,pessoa412@example.com,10000000412,1992-05-21,2
Daniela Pereira,pessoa413@example.com,10000000413,1993-06-22,3
Fernanda Costa,pessoa414@example.com,10000000414,1994-07-23,1
Gabriel Almeida,pessoa415@example.com,10000000415,1995-08-24,2
Helena Gomes,pessoa416@example.com,10000000416,1996-09-25,3
Igor Ramos,pessoa417@example.com,10000000417,1997-10-26,1
Julia Melo,pessoa418@example.com,10000000418,1998-11-27,2
Marcos Fernandes,pessoa419@example.com,10000000419,1999-12-28,3
Ana Silva,pessoa420@example.com,10000000420,1980-01-01,1
Bruno Souza,pessoa421@example.com,10000000421,1981-02-02,2
Carlos Oliveira,pessoa422@example.com,10000000422,1982-03-03,3
Daniela Pereira,pessoa423@example.com,10000000423,1983-04-04,1
Fernanda Costa,pessoa424@example.com,10000000424,1984-05-05,2
Gabriel Almeida,pessoa425@example.com,10000000425,1985-06-06,3
Helena Gomes,pessoa426@example.com,10000000426,1986-07-07,1
Igor Ramos,pessoa427@example.com,10000000427,1987-08-08,2
